CustomerID,Recency,Frequency,Monetary,AOV,UniqueProducts,Lifespan,AvgDaysBetweenOrders,CLTV,CLTV_Tier,Churned,Log_Recency,Log_Frequency,Log_Monetary,Log_AOV,Log_CLTV
12347,2,7,3783.23,21.495625,101,365,60.833333333333336,300.93875,High,0,1.0986122886681098,2.0794415416798357,8.238597710565617,3.113320845859158,5.710224182235677
12348,249,3,90.19999999999999,15.033333333333331,6,109,54.5,58.56821917808218,Mid,1,5.521460917862246,1.3862943611198906,4.513054897080286,2.7746698884436056,4.087122196583741
12349,19,1,1328.55,19.537499999999998,68,0,0.0,19.537499999999998,Low,0,2.995732273553991,0.6931471805599453,7.192595818099261,3.022252483363386,3.022252483363386
12350,310,1,294.40000000000003,18.400000000000002,16,0,0.0,18.400000000000002,Low,1,5.739792912179234,0.6931471805599453,5.68833037009728,2.9652730660692828,2.9652730660692828
12352,36,7,1321.99,17.626533333333334,56,260,43.333333333333336,211.27694063926944,High,0,3.6109179126442243,2.0794415416798357,7.187649605507402,2.924587087498897,5.357891745943601
12353,204,1,89.0,22.25,4,0,0.0,22.25,Mid,1,5.3230099791384085,0.6931471805599453,4.499809670330265,3.1463051320333655,3.1463051320333655
12354,232,1,1013.6,18.770370370370372,54,0,0.0,18.770370370370372,Low,1,5.4510384535657,0.6931471805599453,6.922249725132589,2.9841843709660947,2.9841843709660947
12355,214,1,238.9,23.89,10,0,0.0,23.89,Mid,1,5.3706380281276624,0.6931471805599453,5.480222169845649,3.2144661163795005,3.2144661163795005
12356,23,3,1778.89,41.36953488372093,41,302,151.0,226.7957241159605,High,0,3.1780538303479458,1.3862943611198906,7.484306843623762,3.7464295870875595,5.428449280494338
12357,33,1,4817.2300000000005,41.88895652173913,115,0,0.0,41.88895652173913,Mid,0,3.5263605246161616,0.6931471805599453,8.480161919685889,3.7586143690591096,3.7586143690591096
12358,2,2,928.0600000000001,54.591764705882355,12,149,149.0,153.7543400483481,High,0,1.0986122886681098,1.0986122886681098,6.834173322304168,4.018035073485483,5.041838956718112
12359,58,4,4238.53,19.092477477477477,197,274,91.33333333333333,133.69965049981488,High,0,4.07753744390572,1.6094379124341003,8.35220769302519,3.0003454901623376,4.90304748875679
12360,52,3,1931.26,15.960826446280992,101,148,74.0,67.29784082418205,Mid,0,3.970291913552122,1.3862943611198906,7.566445581287342,2.830906358320457,4.2238781529611105
12361,287,1,174.9,19.433333333333334,9,0,0.0,19.433333333333334,Low,1,5.662960480135946,0.6931471805599453,5.169915651743512,3.017167554274056,3.017167554274056
12362,3,10,4512.03,18.26732793522267,192,292,32.44444444444444,328.8119028340081,High,0,1.3862943611198906,2.3978952727983707,8.414724047267791,2.9584108083186096,5.798522500541569
12363,110,2,552.0,24.0,23,132,132.0,65.35890410958905,Mid,1,4.709530201312334,1.0986122886681098,6.315358001522335,3.2188758248682006,4.195077950863835
12364,8,3,1143.3,14.29125,69,104,52.0,55.08983219178082,Mid,0,2.1972245773362196,1.3862943611198906,7.042548375323669,2.727280769378989,4.026954551748625
12365,291,1,307.94,15.397,20,0,0.0,15.397,Low,1,5.676753802268282,0.6931471805599453,5.733147083286105,2.797098391267731,2.797098391267731
12367,4,1,138.3,15.366666666666667,9,0,0.0,15.366666666666667,Low,0,1.6094379124341003,0.6931471805599453,4.93662988078576,2.7952467461323653,2.7952467461323653
12370,51,4,2918.81,18.473481012658226,135,309,103.0,136.45069810993581,High,0,3.9512437185814275,1.6094379124341003,7.979273824652131,2.969053591932272,4.923265293608439
12371,60,1,1476.96,24.212459016393442,61,0,0.0,24.212459016393442,Mid,0,4.110873864173311,0.6931471805599453,7.298418037542462,3.2273382777517288,3.2273382777517288
12372,72,3,1196.04,24.408979591836733,33,224,112.0,118.1662107911658,High,0,4.290459441148391,1.3862943611198906,7.0876071218751635,3.235102638786128,4.7805192479299565
12373,311,1,324.6,24.96923076923077,13,0,0.0,24.96923076923077,Mid,1,5.7430031878094825,0.6931471805599453,5.785669634128385,3.256912405260265,3.256912405260265
12374,25,1,563.53,18.784333333333333,30,0,0.0,18.784333333333333,Low,0,3.258096538021482,0.6931471805599453,6.335993526553158,2.9848903787090695,2.9848903787090695
12375,11,2,377.5,25.166666666666668,13,87,87.0,62.33059360730594,Mid,0,2.4849066497880004,1.0986122886681098,5.936216072877503,3.264486336120253,4.148368523724675
12377,315,2,1548.1200000000001,20.37,71,39,39.0,45.093041095890406,Mid,1,5.755742213586912,1.0986122886681098,7.3454423067513295,3.0619880693310564,3.830661986241345
12378,130,1,3660.7400000000002,17.59971153846154,208,0,0.0,17.59971153846154,Low,1,4.875197323201151,0.6931471805599453,8.205693723260024,2.923146071914031,2.923146071914031
12379,82,2,736.44,19.903783783783787,37,88,88.0,49.405008515364685,Mid,0,4.418840607796598,1.0986122886681098,6.603184728972198,3.0399301848708937,3.920090545444779
